#,,Deutsch,Bedeutung ,Beispiel,Example,Takeaway
935,die,"Mango, nen",mango,Die Mango ist süß.,The mango is sweet.,
936,der,"Mann, Männer",man,Der Mann ist groß.,The man is tall.,
937,der,"Mantel, Mäntel",coat,Der Mantel ist warm.,The coat is warm.,
938,das,"Märchen, -",fairy tale,Ich lese ein Märchen.,I am reading a fairy tale.,
939,der,"Markt, Märkte",market,Wir gehen auf den Markt.,We are going to the market.,
940,die,"Marmelade, n","jam, marmalade",Die Marmelade ist süß.,The jam is sweet.,
941,der,"März, e",March,Im März beginnt der Frühling.,"In March, spring begins.",
942,das,"Maß, e","measure, size, beer mug","Ein Maß Bier, bitte.","A liter of beer, please.",
943,die,"Masse, n","mass, crowd",Die Masse der Leute war groß.,The mass of people was large.,
944,das,"Material, -ien",material,Das Material ist weich.,The material is soft.,
945,der,"Maurer, -",bricklayer,Der Maurer baut eine Mauer.,The bricklayer is building a wall.,
946,die,"Maus, Mäuse",mouse,Die Maus ist klein.,The mouse is small.,
947,der,"Mechatroniker, -",mechatronics engineer (male),Der Mechatroniker repariert das Auto.,The mechatronics engineer is repairing the car.,
948,die,"Mechatronikerin, nen",mechatronics engineer (female),Die Mechatronikerin arbeitet an der Maschine.,The female mechatronics engineer is working on the machine.,
949,das,"Medikament, e",medication,Ich nehme ein Medikament.,I am taking a medication.,
950,die,"Medikation, en","medication, prescribing",Die Medikation ist wichtig.,The medication is important.,
951,das,"Meer, e","sea, ocean",Wir fahren ans Meer.,We are going to the sea.,
952,das,"Mehl, e",flour,Ich brauche Mehl zum Backen.,I need flour for baking.,
953,das,"Mehr, -",more,Ich will mehr.,I want more.,
954,die,"Meinung, en",opinion,Das ist meine Meinung.,That is my opinion.,
955,die,"Meise, n",titmouse,Die Meise sitzt auf dem Baum.,The titmouse is sitting on the tree.,
956,der,"Meißel, -",chisel,Der Steinmetz benutzt einen Meißel.,The stonemason is using a chisel.,
957,die,"Meldung, en","message, report, announcement",Die Meldung war kurz.,The announcement was short.,
958,die,"Melone, n",melon,Die Melone ist saftig.,The melon is juicy.,
959,der,"Mensch, en","person, human",Der Mensch ist ein soziales Wesen.,The human is a social being.,
960,das,"Merkmal, e",characteristic,Das ist ein wichtiges Merkmal.,That is an important characteristic.,
961,das,"Messer, -",knife,Das Messer ist scharf.,The knife is sharp.,
962,der,"Meter, -",meter,Der Tisch ist zwei Meter lang.,The table is two meters long.,
963,die,"Metzgerei, en",butcher shop,Ich kaufe Fleisch in der Metzgerei.,I am buying meat at the butcher shop.,
964,der,"Mexikaner, -",Mexican (male),Er ist ein Mexikaner.,He is a Mexican.,
965,die,"Miete, n",rent,Die Miete ist teuer.,The rent is expensive.,
966,die,"Milch, en",milk,Ich trinke Milch zum Frühstück.,I drink milk for breakfast.,
967,die,"Milliarde, en",billion,Eine Milliarde ist eine große Zahl.,One billion is a big number.,
968,die,"Million, en",million,Eine Million ist eine große Zahl.,One million is a big number.,
969,das,Mineralwasser,mineral water,Ich trinke Mineralwasser.,I am drinking mineral water.,
970,die,"Minute, n",minute,Eine Minute hat 60 Sekunden.,One minute has 60 seconds.,
971,das,"Missfallen, -",displeasure,Er zeigt sein Missfallen.,He is showing his displeasure.,
972,der,"Mitarbeiter, -",employee (male),Der Mitarbeiter arbeitet fleißig.,The employee is working diligently.,
973,die,"Mitarbeiterin, nen",employee (female),Die Mitarbeiterin ist sehr kompetent.,The female employee is very competent.,
974,das,"Mitglied, er",member,Er ist ein Mitglied des Klubs.,He is a member of the club.,
975,der,"Mittag, e",noon,Um Mittag esse ich zu Mittag.,"At noon, I am eating lunch.",
976,das,"Mittagessen, -",lunch,Das Mittagessen ist fertig.,The lunch is ready.,
977,die,"Mitte, n",middle,In der Mitte des Raumes steht ein Tisch.,"In the middle of the room, there is a table.",
978,die,"Mitteilung, en","message, notice",Ich habe eine Mitteilung bekommen.,I have received a message.,
979,das,"Mittel, -","means, remedy",Was ist das beste Mittel dagegen?,What is the best remedy against it?,
980,der,"Mittwoch, e",Wednesday,Am Mittwoch gehen wir ins Kino.,"On Wednesday, we are going to the cinema.",
981,das,"Möbel, -",furniture,Die Möbel sind neu.,The furniture is new.,
982,der,"Möbelpacker, -",furniture mover,Die Möbelpacker tragen die Möbel.,The furniture movers are carrying the furniture.,
983,die,"Mode, n",fashion,Mode ändert sich schnell.,Fashion changes quickly.,
984,die,"Möglichkeit, en",possibility,Es gibt viele Möglichkeiten.,There are many possibilities.,
985,die,"Möhre, n",carrot,Die Möhre ist süß.,The carrot is sweet.,
986,der,"Moment, e",moment,Warte einen Moment.,Wait a moment.,
987,der,"Monat, e",month,Der Monat hat 30 Tage.,The month has 30 days.,
988,der,"Montag, e",Monday,Am Montag beginnt die Woche.,"On Monday, the week begins.",
989,das,"Moos, e",moss,Das Moos wächst auf dem Stein.,The moss is growing on the stone.,
990,das,"Moped, s",moped,Er fährt mit dem Moped.,He is riding the moped.,
991,der,"Morgen, -",morning,Am Morgen trinke ich Kaffee.,"In the morning, I drink coffee.",
992,der,"Most, e",cider,Der Most ist lecker.,The cider is delicious.,
993,das,"Motorrad, -räder",motorcycle,Das Motorrad ist schnell.,The motorcycle is fast.,
994,die,"Mücke, n",mosquito,Eine Mücke hat mich gestochen.,A mosquito has bitten me.,
995,die,"Mühe, n","effort, trouble",Es kostet viel Mühe.,It costs a lot of effort.,
996,der,"Mund, Münder",mouth,Mach den Mund auf.,Open your mouth.,
997,die,"Mundharmonika, s",harmonica,Er spielt Mundharmonika.,He is playing the harmonica.,
998,die,"Münze, n",coin,Ich habe eine Münze gefunden.,I found a coin.,
999,die,"Muse, n",muse,Die Muse küsst ihn.,The muse is kissing him.,
1000,das,"Museum, Museen",museum,Das Museum ist am Sonntag geöffnet.,The museum is open on Sunday.,
1001,die,"Musik, en",music,Musik ist meine Leidenschaft.,Music is my passion.,
1002,der,"Musiker, -",musician (male),Der Musiker spielt Geige.,The musician is playing the violin.,
1003,die,"Musikerin, nen",musician (female),Die Musikerin singt ein Lied.,The female musician is singing a song.,
1004,das,"Müsli, s",muesli,Ich esse Müsli zum Frühstück.,I am eating muesli for breakfast.,
1005,die,"Muße, -",leisure,Ich habe Muße zum Entspannen.,I have leisure to relax.,
1006,das,"Muster, -","pattern, sample",Das Muster ist schön.,The pattern is beautiful.,
1007,die,"Mutter, Mütter",mother,Meine Mutter kocht gut.,My mother cooks well.,
1008,die,"Muttersprache, n",native language,Meine Muttersprache ist Deutsch.,My native language is German.,
1009,die,"Mütze, n","hat, cap",Ich trage eine Mütze.,I am wearing a hat.,
1010,der,"Nachbar, n",neighbor (male),Mein Nachbar ist nett.,My neighbor is nice.,
1011,die,"Nachhilfe, n",tutoring,Ich brauche Nachhilfe in Mathe.,I need tutoring in math.,
1012,der,"Nachhilfelehrer, -",tutor (male),Der Nachhilfelehrer erklärt gut.,The tutor explains well.,
1013,der,"Nachmittag, e",afternoon,Am Nachmittag gehe ich spazieren.,"In the afternoon, I am going for a walk.",
1014,der,"Nachname, n",surname,Mein Nachname ist Schmidt.,My surname is Schmidt.,
1015,die,"Nachricht, en","message, news",Ich habe eine Nachricht bekommen.,I have received a message.,
1016,die,"Nachspeise, n",dessert,Als Nachspeise gibt es Eis.,Ice cream is served as dessert.,
1017,der,"Nächste, n",next one,Der Nächste bitte!,"Next one, please!",
1018,die,"Nacht, Nächte",night,Die Nacht ist dunkel.,The night is dark.,
1019,der,"Nachteil, e",disadvantage,Das hat einen Nachteil.,That has a disadvantage.,
1020,der,"Name, n",name,Mein Name ist Max.,My name is Max.,
1021,die,"Nase, n",nose,Meine Nase ist klein.,My nose is small.,
1022,die,"Natur, en",nature,Die Natur ist wunderschön.,Nature is beautiful.,
1023,das,"Navi, s",GPS device,Ich benutze ein Navi.,I am using a GPS device.,
1024,der,"Neffe, n",nephew,Mein Neffe ist lustig.,My nephew is funny.,
1025,das,"Negativ, e",negative,Das Ergebnis ist negativ.,The result is negative.,
1026,die,"Nelke, n",carnation,Die Nelke ist eine Blume.,The carnation is a flower.,
1027,die,"Nervosität, -",nervousness,Die Nervosität ist spürbar.,The nervousness is palpable.,
1028,die,"Nessel, n",nettle,Die Nessel brennt auf der Haut.,The nettle stings the skin.,
1029,das,"Nest, er",nest,Der Vogel baut ein Nest.,The bird is building a nest.,
1030,das,"Netzwerk, e",network,Das Netzwerk ist schnell.,The network is fast.,
1031,die,"Neun, en",nine,Die Zahl ist neun.,The number is nine.,
1032,das,"Neutrum, Neutra",neuter gender,"Das Wort ""Kind"" ist Neutrum.","The word ""Kind"" is neuter.",
1033,die,"Nichte, n",niece,Meine Nichte ist lieb.,My niece is sweet.,
1034,,Niederlande,Netherlands,Die Niederlande sind bekannt für Tulpen.,The Netherlands are known for tulips.,
1035,der,"Nikolaus, e",Saint Nicholas,Der Nikolaus kommt am 6. Dezember.,Saint Nicholas comes on December 6th.,
1036,der,Nachmittag,"afternoon (used as ""later in the afternoon"")",Am Nachmittag gehe ich spazieren.,"In the afternoon, I am going for a walk.",
1037,der,"Nord, e",north,Die Stadt liegt im Nord.,The city is located in the north.,
1038,der,"Norden, -",north,Wir fahren nach Norden.,We are driving to the north.,
1039,der,Nordosten,northeast,Die Sonne geht im Nordosten auf.,The sun rises in the northeast.,
1040,der,Nordwesten,northwest,Wir fahren in den Nordwesten.,We are driving to the northwest.,
1041,die,"Not, Nöte","need, distress",Er ist in Not.,He is in need.,
1042,der,"Notarzt, -ärzte",emergency doctor,Der Notarzt ist schnell vor Ort.,The emergency doctor is quickly on site.,
1043,der,"Notdienst, e",emergency service,Der Notdienst ist rund um die Uhr erreichbar.,The emergency service is available around the clock.,
1044,die,"Notiz, en",note,Ich mache mir eine Notiz.,I am making a note.,
1045,der,"November, -",November,Im November regnet es oft.,"In November, it often rains.",
1046,die,"Nudel, n","noodle, pasta",Ich koche Nudeln.,I am cooking noodles.,
1047,die,"Null, en",zero,Die Zahl ist null.,The number is zero.,
1048,die,"Nummer, n",number,Meine Nummer ist 5.,My number is 5.,
1049,der,"Nutzer, -",user (male),Der Nutzer hat sich angemeldet.,The user has logged in.,
1050,die,"Nutzung, en","usage, use",Die Nutzung der App ist einfach.,The usage of the app is easy.,
1051,der,"Ober, -",waiter (in Bavaria),Der Ober bringt das Bier.,The waiter is bringing the beer.,
1052,das,"Oberteil, e",top (clothing),Das Oberteil ist grün.,The top is green.,
1053,das,Obst,fruit,Obst ist gesund.,Fruit is healthy.,
1054,der,"Ofen, Öfen","oven, stove",Der Ofen ist heiß.,The oven is hot.,
1055,der,"Öffner, -",opener,Ich brauche einen Flaschenöffner.,I need a bottle opener.,
1056,die,"Öffnung, en",opening,Die Öffnung des Geschäfts ist um 9 Uhr.,The opening of the store is at 9 AM.,
1057,das,"Ohr, en",ear,Mein Ohr tut weh.,My ear hurts.,
1058,der,"Öko, s",eco-friendly product,Das ist ein Öko-Produkt.,That is an eco-friendly product.,
1059,die,"Ökologie, -",ecology,Ich studiere Ökologie.,I am studying ecology.,
1060,der,"Oktober, -",October,Im Oktober ist es kühl.,"In October, it is cool.",
1061,das,"Öl, e",oil,Ich kaufe Öl zum Kochen.,I am buying oil for cooking.,
1062,die,"Oma, s",grandma,Meine Oma ist nett.,My grandma is nice.,
1063,der,"Onkel, -",uncle,Mein Onkel ist lustig.,My uncle is funny.,
1064,der,"Opa, s",grandpa,Mein Opa erzählt Geschichten.,My grandpa tells stories.,
1065,die,"Oper, n",opera,Wir gehen in die Oper.,We are going to the opera.,
1066,die,"Orange, n",orange,Die Orange ist saftig.,The orange is juicy.,
1067,das,"Orchester, -",orchestra,Das Orchester spielt klassische Musik.,The orchestra is playing classical music.,
1068,die,"Orchidee, n",orchid,Die Orchidee ist eine schöne Blume.,The orchid is a beautiful flower.,
1069,der,"Ordner, -","folder, file",Der Ordner ist voll.,The folder is full.,
1070,die,"Ordnung, en",order,Ich mag Ordnung.,I like order.,
1071,das,"Organ, e",organ,Das Herz ist ein wichtiges Organ.,The heart is an important organ.,
1072,der,Organismus,organism,Der Organismus ist komplex.,The organism is complex.,
1073,die,"Orientierung, en",orientation,Ich habe die Orientierung verloren.,I have lost my orientation.,
1074,das,"Original, e",original,Das ist das Original.,That is the original.,
1075,der,"Orkan, e",hurricane,Der Orkan hat Schäden verursacht.,The hurricane has caused damage.,
1076,der,"Ort, e","place, location",Der Ort ist schön.,The place is beautiful.,
1077,die,"Öse, n","eyelet, loop",Die Öse am Schuh ist kaputt.,The eyelet on the shoe is broken.,
1078,der,"Ost, e",east,Der Wind kommt aus Ost.,The wind is coming from the east.,
1079,das,Osten,east,Die Sonne geht im Osten auf.,The sun rises in the east.,
1080,das,"Ostern, -",Easter,Ostern ist im Frühling.,Easter is in spring.,
1081,,Österreich,Austria,Die Hauptstadt von Österreich ist Wien.,The capital of Austria is Vienna.,
1082,der,"Österreicher, -",Austrian (male),Er ist ein Österreicher.,He is an Austrian.,
1083,die,"Ostsee, -",Baltic Sea,Wir fahren an die Ostsee.,We are going to the Baltic Sea.,
1084,das,"Paar, s","pair, couple",Das Paar tanzt.,The couple is dancing.,
1085,das,"Paket, e",package,Das Paket ist schwer.,The package is heavy.,
1086,die,"Packung, en","packet, package",Ich kaufe eine Packung Kekse.,I am buying a packet of cookies.,
1087,das,"Pad, s",pad,Ich benutze ein Schreib-Pad.,I am using a writing pad.,
1088,die,"Palme, n",palm tree,Die Palme wächst am Strand.,The palm tree is growing on the beach.,
1089,die,"Panne, n",breakdown,Ich habe eine Panne.,I have a breakdown.,
1090,die,"Pantomime, n",pantomime,Er macht eine Pantomime.,He is doing a pantomime.,
1091,der,"Papa, s",dad,Mein Papa ist lustig.,My dad is funny.,
1092,die,"Papaya, s",papaya,Die Papaya ist eine Frucht.,The papaya is a fruit.,
1093,das,"Papier, e",paper,Das Papier ist weiß.,The paper is white.,
1094,die,"Paprika, -",bell pepper,Ich esse Paprika.,I am eating bell pepper.,
1095,das,"Parfüm, s",perfume,Das Parfüm riecht gut.,The perfume smells good.,
1096,die,"Parfümerie, n",perfumery,Ich kaufe das Parfüm in der Parfümerie.,I am buying the perfume in the perfumery.,
1097,der,"Park, s",park,Wir gehen in den Park.,We are going to the park.,
1098,das,"Parlament, e",parliament,Das Parlament trifft eine Entscheidung.,The parliament is making a decision.,
1099,das,"Partizip, ien",participle,Das Partizip ist ein Verb.,The participle is a verb.,
1100,die,"Partizipation, en",participation,Die Partizipation der Bürger ist wichtig.,The participation of the citizens is important.,
1101,der,"Partner, -",partner (male),Mein Partner arbeitet in Berlin.,My partner works in Berlin.,
1102,die,"Partnerin, nen",partner (female),Meine Partnerin ist nett.,My female partner is nice.,
1103,die,"Party, s",party,Wir gehen auf eine Party.,We are going to a party.,
1104,der,"Pass, Pässe",passport,Mein Pass ist gültig.,My passport is valid.,
1105,die,"Passagier, e",passenger (male),Der Passagier wartet am Gate.,The passenger is waiting at the gate.,
1106,der,"Patient, en",patient,Der Patient liegt im Bett.,The patient is lying in bed.,
1107,die,"Pause, n","break, pause",Wir machen eine Pause.,We are taking a break.,
1108,das,"Pech, e","bad luck, pitch",Ich habe Pech gehabt.,I had bad luck.,
1109,das,"Perfekt, e",perfect tense,Das Perfekt ist eine Vergangenheitsform.,The perfect tense is a past tense form.,
1110,das,"Pergamon, -",Pergamon (ancient city),Pergamon war eine antike Stadt.,Pergamon was an ancient city.,
1111,die,"Person, en",person,Die Person ist freundlich.,The person is friendly.,
1112,die,"Personalabteilung, en",human resources department,Ich arbeite in der Personalabteilung.,I am working in the human resources department.,
1113,das,"Personalpronomen, -",personal pronoun,Ich ist ein Personalpronomen.,Ich is a personal pronoun.,
1114,der,"Pfeffer, -",pepper,Ich brauche Pfeffer für die Suppe.,I need pepper for the soup.,
1115,das,"Pferd, e",horse,Das Pferd rennt schnell.,The horse is running fast.,
1116,das,"Pflaster, -","band-aid, pavement",Ich brauche ein Pflaster.,I need a band-aid.,
1117,die,"Pflaume, n",plum,Die Pflaume ist lila.,The plum is purple.,
1118,die,"Pflege, n",care,Die Pflege des Gartens ist wichtig.,The care of the garden is important.,
1119,der,"Pfleger, -",caregiver (male),Der Pfleger kümmert sich um die Patienten.,The caregiver is taking care of the patients.,
1120,die,"Pflegerin, nen",caregiver (female),Die Pflegerin hilft den Senioren.,The female caregiver is helping the seniors.,
1121,das,"Pfund, e",pound (unit of weight),Ich kaufe ein Pfund Äpfel.,I am buying a pound of apples.,
1122,der,"Physiotherapeut, en",physical therapist (male),Der Physiotherapeut hilft bei der Genesung.,The physical therapist is helping with the recovery.,
1123,die,"Physiotherapeutin, nen",physical therapist (female),Die Physiotherapeutin zeigt Übungen.,The female physical therapist is showing exercises.,
1124,die,"Physiotherapie, n",physical therapy,Ich mache eine Physiotherapie.,I am doing a physical therapy.,
1125,das,"Picknick, e",picnic,Wir machen ein Picknick.,We are having a picnic.,
1126,der,"Pilz, e",mushroom,Der Pilz wächst im Wald.,The mushroom is growing in the forest.,
1127,die,"Pinnwand, -wände","notice board, pinboard",Die Pinnwand ist voll mit Zetteln.,The notice board is full of notes.,
1128,die,"Pizza, s",pizza,Die Pizza ist lecker.,The pizza is delicious.,
1129,die,"Pizzeria, -Pizzerien",pizzeria,Wir gehen in die Pizzeria.,We are going to the pizzeria.,
1130,das,"Plakat, e",poster,Das Plakat ist bunt.,The poster is colorful.,
1131,die,"Plakatierung, en",posting of bills,Die Plakatierung ist hier verboten.,The posting of bills is forbidden here.,
1132,der,"Plan, Pläne","plan, map","Mein Plan ist, nach Berlin zu reisen.",My plan is to travel to Berlin.,
1133,der,"Platz, Plätze","place, square, seat",Nehmen Sie Platz.,Take a seat.,
1134,der,"Podcast, s",podcast,Ich höre einen Podcast.,I am listening to a podcast.,
1135,,"Polen, Polnisch","Poland, Polish",Sie kommt aus Polen.,She comes from Poland.,
1136,der,"Politiker, -",politician (male),Der Politiker hält eine Rede.,The politician is giving a speech.,
1137,die,"Politikerin, nen",politician (female),Die Politikerin spricht über die Wirtschaft.,The female politician is talking about the economy.,
1138,die,"Polizei, en",police,Die Polizei sucht den Täter.,The police are looking for the culprit.,
1139,der,"Polizist, en",police officer (male),Der Polizist hilft bei dem Unfall.,The police officer is helping with the accident.,
1140,die,"Polizistin, nen",police officer (female),Die Polizistin regelt den Verkehr.,The female police officer is directing traffic.,
1141,der,"Pool, s",pool,Wir schwimmen im Pool.,We are swimming in the pool.,
1142,das,"Positiv, e",positive,Das Ergebnis ist positiv.,The result is positive.,
1143,die,Post,"mail, post office",Die Post kommt heute.,The mail is coming today.,
1144,die,"Postkarte, n",postcard,Ich schicke eine Postkarte.,I am sending a postcard.,
1145,die,"Postleitzahl, en",postal code,Was ist deine Postleitzahl?,What is your postal code?,
1146,die,Potenz,"power, potency",Die Potenz der Zahl ist zwei.,The power of the number is two.,
1147,das,"Präfix, e",prefix,Un- ist ein Präfix.,Un- is a prefix.,
1148,der,"Praktikant, en",intern (male),Der Praktikant arbeitet im Büro.,The intern is working in the office.,
1149,die,"Präsentation, en",presentation,Die Präsentation ist morgen.,The presentation is tomorrow.,
1150,das,Präteritum,simple past tense,Das Präteritum ist eine Vergangenheitsform.,The simple past is a past tense form.,
1151,der,Prater,Prater (amusement park in Vienna),Wir gehen in den Prater.,We are going to the Prater.,
1152,die,"Praxis, Praxen","practice, doctor's office",Ich gehe in die Arztpraxis.,I am going to the doctor's office.,
1153,der,"Preis, e",price,Der Preis ist hoch.,The price is high.,
1154,das,"Problem, e",problem,Ich habe ein Problem.,I have a problem.,
1155,das,"Produkt, e",product,Das Produkt ist neu.,The product is new.,
1156,die,"Produktion, en",production,Die Produktion läuft gut.,The production is going well.,
1157,der,"Professor, en",professor (male),Der Professor hält eine Vorlesung.,The professor is giving a lecture.,
1158,die,"Professorin, nen",professor (female),Die Professorin forscht an einem neuen Thema.,The female professor is researching a new topic.,
1159,der,"Programmierer, -",programmer (male),Der Programmierer schreibt Code.,The programmer is writing code.,
1160,die,"Programmiererin, nen",programmer (female),Die Programmiererin entwickelt eine App.,The female programmer is developing an app.,
1161,das,"Projekt, e",project,Das Projekt ist groß.,The project is big.,
1162,der,"Promoter, -",promoter,Der Promoter wirbt für das Konzert.,The promoter is advertising the concert.,
1163,der,"Prospekt, e","brochure, leaflet",Der Prospekt ist kostenlos.,The brochure is free.,
1164,das,"Protokoll, e","protocol, minutes",Das Protokoll ist fertig.,The protocol is ready.,
1165,das,"Prozent, e",percent,Zehn Prozent der Leute.,Ten percent of the people.,
1166,die,"Prüfung, en","exam, test",Die Prüfung ist schwierig.,The exam is difficult.,
1167,der,"Pulli, s",sweater,Der Pulli ist warm.,The sweater is warm.,
1168,der,"Pullover, -",sweater,Mein Pullover ist blau.,My sweater is blue.,
1169,das,"Pulver, -",powder,Das Pulver ist weiß.,The powder is white.,
1170,die,"Puppe, n",doll,Die Puppe hat ein schönes Kleid an.,The doll is wearing a beautiful dress.,
1171,der,"Quadratmeter, -",square meter,Die Wohnung hat 50 Quadratmeter.,The apartment has 50 square meters.,
1172,die,"Qual, en","torment, agony",Die Qualen sind unerträglich.,The torments are unbearable.,
1173,die,"Qualität, en",quality,Die Qualität ist gut.,The quality is good.,
1174,die,"Qualle, n",jellyfish,Die Qualle schwimmt im Meer.,The jellyfish is swimming in the sea.,
1175,der,"Quatsch, -","nonsense, rubbish",Das ist doch Quatsch.,That's nonsense.,
1176,das,"Quecksilber, -",mercury,Quecksilber ist ein Metall.,Mercury is a metal.,
1177,die,"Quelle, n",source,Das ist eine zuverlässige Quelle.,That is a reliable source.,
1178,der,"Rabatt, e",discount,Ich bekomme einen Rabatt.,I am getting a discount.,
1179,der,"Rabe, n",raven,Der Rabe ist schwarz.,The raven is black.,
1180,das,"Rad, Räder","wheel, bike (colloquial)",Das Rad ist kaputt.,The bike is broken.,
1181,der,"Radiergummi, s",eraser,Ich brauche einen Radiergummi.,I need an eraser.,
1182,der,Rahm,cream,Der Rahm ist dick.,The cream is thick.,
1183,die,"Rampe, n",ramp,Die Rampe ist steil.,The ramp is steep.,
1184,der,"Rappen, -",Rappen (Swiss currency),Ein Rappen ist eine kleine Münze.,A Rappen is a small coin.,
1185,der,"Rat, Räte","advice, council",Gib mir einen Rat.,Give me some advice.,
1186,das,"Rathaus, -häuser",city hall,Das Rathaus ist alt.,The city hall is old.,
1187,der,"Ratschlag, -schläge",advice,Gib mir einen Ratschlag.,Give me some advice.,
1188,der,"Ratschluss, -schlüsse","council decision, resolution",Das ist ein wichtiger Ratschluss.,That is an important council decision.,
1189,der,"Raum, Räume","room, space",Der Raum ist groß.,The room is big.,
1190,die,"Raupe, n",caterpillar,Die Raupe frisst ein Blatt.,The caterpillar is eating a leaf.,
1191,die,"Reaktion, en",reaction,Die Reaktion war unerwartet.,The reaction was unexpected.,
1192,die,"Recherche, n",research,Die Recherche ist wichtig.,The research is important.,
1193,der,"Rechercheur, e","researcher, investigator (male)",Der Rechercheur findet die Fakten.,The investigator is finding the facts.,
1194,die,"Rechercheurin, nen","researcher, investigator (female)",Die Rechercheurin sammelt Informationen.,The female investigator is gathering information.,
1195,die,"Rechnung, en","bill, invoice",Die Rechnung ist hoch.,The bill is high.,
1196,die,"Rede, n",speech,Der Politiker hält eine Rede.,The politician is giving a speech.,
1197,das,"Redemittel, -","phrases, expressions",Diese Redemittel sind nützlich.,These phrases are useful.,
1198,das,"Reet, e",reed,Das Dach ist aus Reet.,The roof is made of reed.,
1199,das,"Reethaus, -häuser",thatched-roof house,Wir wohnen in einem Reethaus.,We live in a thatched-roof house.,
1200,das,"Regal, e",shelf,Das Regal ist voll mit Büchern.,The shelf is full of books.,
1201,die,"Regel, n",rule,Die Regel ist einfach.,The rule is simple.,
1202,der,"Regen, -",rain,Der Regen fällt.,The rain is falling.,
1203,die,"Regenjacke, n",rain jacket,Die Regenjacke schützt vor Nässe.,The rain jacket protects from wetness.,
1204,der,"Regenschirm, e",umbrella,Ich brauche einen Regenschirm.,I need an umbrella.,
1205,die,"Regie, n","direction (film, theater)",Wer führt die Regie?,Who is directing?,
1206,die,"Regierung, en",government,Die Regierung hat entschieden.,The government has decided.,
1207,der,"Reichstag, e",Reichstag building,Der Reichstag ist in Berlin.,The Reichstag building is in Berlin.,
1208,der,"Reifen, -",tire,Der Reifen ist platt.,The tire is flat.,
1209,die,"Reifenpanne, n",flat tire,Ich habe eine Reifenpanne.,I have a flat tire.,
1210,die,"Reihe, n","row, line",Wir sitzen in der ersten Reihe.,We are sitting in the first row.,
1211,die,"Reihenfolge, n","sequence, order",Die Reihenfolge ist wichtig.,The sequence is important.,
1212,das,"Reihenhaus, -häuser",row house,Wir wohnen in einem Reihenhaus.,We live in a row house.,
1213,die,"Reim, e",rhyme,Das Gedicht hat einen schönen Reim.,The poem has a nice rhyme.,
1214,das,"Reimwort, -wörter",rhyming word,"Haus ist ein Reimwort zu ""Maus"".","Haus is a rhyming word for ""Maus.""",
1215,der,"Reis, e",rice,Ich koche Reis.,I am cooking rice.,
1216,die,"Reise, n","trip, journey",Die Reise war schön.,The trip was nice.,
1217,der,"Reisebericht, e",travel report,Ich schreibe einen Reisebericht.,I am writing a travel report.,
1218,das,"Reisebüro, s",travel agency,Ich buche die Reise im Reisebüro.,I am booking the trip at the travel agency.,
1219,die,"Reiseführer, -",travel guide (book or person),Der Reiseführer ist sehr informativ.,The travel guide is very informative.,
1220,die,"Reisetasche, n",travel bag,Die Reisetasche ist voll.,The travel bag is full.,
1221,das,"Reiseziel, e",travel destination,Mein Reiseziel ist Italien.,My travel destination is Italy.,
1222,der,"Reiz, e","stimulus, charm",Der Reiz der Stadt ist groß.,The charm of the city is great.,
1223,das,"Rennen, -",race,Das Rennen war spannend.,The race was exciting.,
1224,die,"Renovierung, en",renovation,Die Renovierung dauert lange.,The renovation is taking a long time.,
1225,das,"Restaurant, s",restaurant,Wir gehen in ein Restaurant.,We are going to a restaurant.,
1226,das,"Rezept, e",recipe,Das Rezept ist einfach.,The recipe is simple.,
1227,die,"Rezeptierung, en",prescribing,Die Rezeptierung des Medikaments.,The prescribing of the medication.,
1228,die,"Rezeption, en",reception,Die Rezeption ist im Erdgeschoss.,The reception is on the ground floor.,
1229,der,Rhein,Rhine (river),Der Rhein fließt durch Deutschland.,The Rhine flows through Germany.,
1230,das,"Rheinufer, -",Rhine riverbank,Wir spazieren am Rheinufer.,We are walking along the Rhine riverbank.,
1231,die,"Rhetorik, en",rhetoric,Seine Rhetorik ist überzeugend.,His rhetoric is convincing.,
1232,der,"Rhythmus, -men",rhythm,Der Rhythmus der Musik ist gut.,The rhythm of the music is good.,
1233,die,"Richtung, en",direction,In welche Richtung müssen wir gehen?,In which direction do we have to go?,
1234,das,Rindfleisch,beef,Ich esse gerne Rindfleisch.,I like to eat beef.,
1235,der,"Ring, e",ring,Der Ring ist aus Silber.,The ring is made of silver.,
1236,die,"Rippe, n",rib,Meine Rippe tut weh.,My rib hurts.,
1237,der,"Rock, Röcke","skirt, rock (music)",Der Rock ist kurz.,The skirt is short.,
1238,die,"Rolle, n","role, roll",Er spielt eine wichtige Rolle.,He is playing an important role.,
1239,der,"Röntgenarzt, -ärzte",radiologist,Ich habe einen Termin beim Röntgenarzt.,I have an appointment with the radiologist.,
1240,die,"Rose, n",rose,Die Rose ist rot.,The rose is red.,
1241,der,Rote Platz,Red Square,Der Rote Platz ist in Moskau.,Red Square is in Moscow.,
1242,die,"Route, n",route,Die Route ist lang.,The route is long.,
1243,der,"Rücken, -",back,Mein Rücken tut weh.,My back hurts.,
1244,der,"Rucksack, -säcke",backpack,Der Rucksack ist schwer.,The backpack is heavy.,
1245,die,"Ruhe, -","peace, quiet",Ich brauche Ruhe.,I need peace.,
1246,der,"Ruhm, -","fame, glory",Er erlangte Ruhm.,He gained fame.,
